번호|평점|영화|140자평|글쓴이|날짜
16478052|whdg****19.12.11||||
16478051|veko****19.12.11||||
16478050|schj****19.12.11||||
16478049|bosu****19.12.11||||
16478048|aa93****19.12.11||||
16478047|nike****19.12.11||||
16478046|dnwo****19.12.11||||
16478045|newg****19.12.11||||
16478044|heen****19.12.11||||
16478043|yuju****19.12.11||||
